Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR;B365H;B365D;B365A;BWH;BWD;BWA;IWH;IWD;IWA;PSH;PSD;PSA;WHH;WHD;WHA;VCH;VCD;VCA;Bb1X2;BbMxH;BbAvH;BbMxD;BbAvD;BbMxA;BbAvA;BbOU;BbMx>2.5;BbAv>2.5;BbMx<2.5;BbAv<2.5;BbAH;BbAHh;BbMxAHH;BbAvAHH;BbMxAHA;BbAvAHA;PSCH;PSCD;PSCA
N1;10.08.2018;PEC Zwolle;SC Heerenveen;2;3;A;1;3;A;18;7;4;3;13;11;5;1;2;5;0;1;2.Nis;3.Haz;2.Tem;Þub.45;3.Haz;Þub.75;Þub.45;Mar.45;Þub.65;2.Haz;Mar.67;Þub.66;2.Nis;3.May;2.Haz;2.May;3.Haz;2.Tem;37;2.Haz;Þub.44;Mar.67;Mar.51;3;Þub.71;34;1.Tem;Oca.64;Þub.36;Þub.22;16;-0.25;Þub.26;Þub.17;Oca.84;Oca.71;Þub.93;Mar.58;Þub.43
N1;11.08.2018;Ajax;Heracles Almelo;1;1;D;0;0;D;17;11;7;2;13;25;12;7;0;3;0;0;1.Ara;8;19;Oca.13;8.May;21;1.Ara;7.Eyl;15.May;Oca.13;Eyl.33;21.26;1.Kas;8;15;1.Ara;9;23;38;Oca.15;Oca.13;Eyl.33;Aðu.37;23;18.32;31;1.Mar;Oca.28;3.Aðu;Mar.55;20;-2.5;2.Haz;Oca.99;Oca.91;Oca.84;Oca.13;Eyl.75;20.82
N1;11.08.2018;Excelsior;Fortuna Sittard;1;1;D;1;0;H;13;18;3;6;12;11;4;8;3;1;1;0;2.Oca;3.May;3.Mar;Þub.15;3.Haz;3.Mar;2.May;3.May;Mar.25;2.Kas;Mar.65;Mar.43;2.May;3.Haz;3.Oca;2.Oca;3.Tem;3.Mar;40;Þub.15;2.Eyl;3.Tem;Mar.53;Mar.43;Mar.28;34;Oca.73;Oca.67;Þub.21;Þub.14;19;-0.25;Oca.88;Oca.84;2.Haz;2;Þub.35;3.May;3.Kas
N1;11.08.2018;PSV;FC Utrecht;4;0;H;1;0;H;14;6;10;2;11;12;9;1;2;2;0;0;1.Nis;5;6.May;Oca.42;Nis.75;Tem.25;Oca.41;4.Tem;6.Nis;Oca.41;4.Eyl;Tem.74;1.Nis;4.Aðu;6;1.Nis;5;7.May;39;Oca.45;Oca.41;5.Mar;Nis.76;Tem.75;Haz.82;33;Oca.53;1.May;Þub.63;Þub.52;20;-1.25;Oca.96;Oca.91;Oca.97;Oca.93;Oca.38;5.Haz;Eyl.24
N1;11.08.2018;Willem II;VVV-Venlo;0;1;A;0;1;A;15;7;6;1;11;18;13;2;2;2;0;0;Þub.25;3.Nis;3.Oca;2.Mar;3.Nis;3.Oca;Þub.25;3.Mar;3;2.Mar;Mar.52;3.Ara;Þub.25;3.May;2.Aðu;Þub.38;3.Nis;3;39;2.Nis;Þub.29;Mar.52;Mar.39;Mar.15;3.Oca;36;Oca.95;Oca.88;Oca.98;1.Eyl;20;-0.25;2.Tem;2.Oca;Oca.88;Oca.83;Þub.27;Mar.48;Mar.27
N1;12.08.2018;AZ Alkmaar;NAC Breda;5;0;H;3;0;H;29;5;12;4;9;9;14;1;0;2;0;0;Oca.36;Nis.75;8.May;Oca.36;May.25;8;Oca.38;Nis.85;6.Aðu;Oca.37;May.18;Aðu.47;Oca.35;4.Aðu;7;Oca.36;5.Þub;8;38;Oca.41;Oca.37;May.25;Nis.94;8.May;Tem.49;29;Oca.52;Oca.48;2.Tem;Þub.57;19;-1.25;Oca.86;Oca.81;2.Aðu;2.Mar;Oca.34;May.91;Aðu.79
N1;12.08.2018;ADO Den Haag;FC Emmen;1;2;A;0;2;A;14;10;5;5;12;20;8;3;2;1;0;0;1.Aðu;4;3.Eyl;1.Aðu;4;4.Oca;Oca.77;3.Aðu;Mar.95;Oca.79;4.May;Nis.25;Oca.75;3.Eyl;3.Aðu;1.Aðu;4;4.Oca;39;Oca.88;Oca.81;4.May;Mar.82;Nis.25;Mar.99;34;Oca.67;Oca.62;Þub.33;Þub.25;18;-0.75;Þub.15;2.May;Oca.84;Oca.78;Oca.77;3.Eyl;4.Aðu
N1;12.08.2018;De Graafschap;Feyenoord;2;0;H;1;0;H;9;14;5;6;16;15;3;5;2;4;0;2;5;Nis.33;Oca.57;Nis.75;Nis.33;Oca.65;4.May;4.Oca;Oca.63;Nis.92;Nis.25;Oca.66;4.Þub;Nis.33;Oca.62;Nis.75;4.Mar;Oca.65;39;5;Nis.68;4.Nis;Nis.15;Oca.69;Oca.63;34;Oca.57;Oca.51;2.Tem;2.May;19;0.75;2.Ara;2.Mar;Oca.88;Oca.81;Aðu.17;5.Eyl;Oca.41
N1;12.08.2018;Vitesse;FC Groningen;5;1;H;2;1;H;14;11;8;6;15;15;6;1;0;2;0;0;Oca.57;4;5.May;Oca.62;Nis.25;5;1.Haz;4;4.Eyl;Oca.62;Nis.14;May.57;Oca.57;4.Þub;4.Haz;1.Haz;4.Þub;5.Nis;38;Oca.64;1.Haz;Nis.25;4.May;May.57;May.14;33;Oca.67;Oca.63;Þub.28;Þub.22;20;-1;2.Kas;2.Nis;Oca.87;Oca.81;1.Eyl;Mar.64;Nis.38
N1;17.08.2018;FC Groningen;Willem II;0;1;A;0;1;A;15;7;4;2;18;11;5;2;1;1;0;0;1.Aðu;3.Haz;Nis.33;Oca.85;Mar.75;4.Oca;1.Aðu;3.Haz;4;Oca.82;3.Eyl;Nis.41;1.Aðu;3.Tem;3.Aðu;Oca.83;3.Aðu;4.Oca;42;Oca.87;Oca.81;3.Eyl;Mar.73;Nis.41;4.Ara;38;Oca.77;1.Tem;Þub.23;Þub.13;20;-0.5;Oca.86;Oca.83;2.Oca;2.Mar;Oca.81;4.Aðu;Nis.21
N1;18.08.2018;Heracles Almelo;ADO Den Haag;4;2;H;3;2;H;17;19;7;7;13;17;5;10;2;4;0;0;2;3.Nis;Mar.75;2.May;3.May;3.Haz;Oca.93;Mar.65;Mar.45;2;Mar.84;Mar.54;2;Mar.75;3.Oca;2.May;Mar.75;3.Nis;42;2.Aðu;Oca.99;Mar.84;Mar.65;Mar.75;Mar.47;36;Oca.63;Oca.59;Þub.39;Þub.29;19;-0.5;2.Haz;2.Oca;Oca.87;Oca.84;Oca.93;4.Eyl;Mar.74
N1;18.08.2018;NAC Breda;De Graafschap;3;0;H;1;0;H;7;7;3;2;9;18;3;4;0;2;0;0;Þub.14;3.Nis;3.Mar;2.Þub;3.Nis;3.Mar;2.Þub;3.Nis;3;Þub.28;Mar.52;Mar.17;2.Þub;3.May;Þub.88;2.Mar;3.May;3;42;2.Mar;Þub.22;Mar.63;Mar.44;3.Mar;3.Tem;38;Oca.77;Oca.71;Þub.19;2.Kas;20;-0.25;2.Mar;Oca.96;Oca.93;Oca.88;Þub.28;Mar.67;3.Oca
N1;18.08.2018;Fortuna Sittard;PSV;1;2;A;0;1;A;10;17;6;8;13;16;5;8;1;1;0;0;10;May.25;1.Mar;8;5.May;Oca.35;7.Þub;5;Oca.35;Eyl.21;May.54;Oca.33;8;5.May;Oca.29;10;5.May;1.Mar;42;10.Þub;Aðu.78;May.72;May.31;Oca.35;Oca.31;36;Oca.55;1.May;Þub.64;Þub.52;21;1.May;2.Þub;Oca.95;Oca.93;Oca.88;11.Oca;Haz.35;Oca.27
N1;18.08.2018;VVV-Venlo;Ajax;0;1;A;0;0;D;9;18;1;9;8;9;5;7;0;1;0;0;10;May.25;Oca.28;Eyl.75;May.75;1.Mar;7.Þub;5;Oca.35;9.Oca;May.57;Oca.33;9;5;Oca.29;11;5.May;Oca.29;42;11;Aðu.97;May.86;May.37;Oca.35;1.Mar;35;Oca.54;Oca.49;Þub.64;Þub.52;21;1.May;2.May;Oca.99;Oca.94;Oca.84;Kas.96;Haz.54;Oca.26
N1;19.08.2018;FC Emmen;AZ Alkmaar;1;4;A;1;3;A;14;16;7;8;10;15;6;3;0;1;0;0;Nis.75;4;Oca.66;May.25;3.Eyl;Oca.67;4.Tem;4.May;1.Haz;May.25;Nis.19;Oca.64;4.May;4;Oca.62;4.Aðu;4.Þub;Oca.65;41;May.25;Nis.86;Nis.26;4.Þub;Oca.69;Oca.63;36;1.Haz;Oca.56;Þub.48;Þub.36;19;0.75;2.Oca;2.Mar;Oca.86;Oca.82;Haz.66;Nis.78;Oca.51
