Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR;B365H;B365D;B365A;BWH;BWD;BWA;IWH;IWD;IWA;PSH;PSD;PSA;WHH;WHD;WHA;VCH;VCD;VCA;Bb1X2;BbMxH;BbAvH;BbMxD;BbAvD;BbMxA;BbAvA;BbOU;BbMx>2.5;BbAv>2.5;BbMx<2.5;BbAv<2.5;BbAH;BbAHh;BbMxAHH;BbAvAHH;BbMxAHA;BbAvAHA;PSCH;PSCD;PSCA
P1;10.08.2018;SL Benfica;Vitória Guimarães;3;2;H;3;0;H;9;9;7;5;15;24;5;2;0;4;0;0;Oca.25;May.75;11;Oca.22;Haz.25;11.May;Oca.25;5.Eyl;9.Aðu;Oca.25;Haz.32;14.88;Oca.22;6.May;10;Oca.25;May.75;13;40;1.Mar;Oca.24;6.May;May.87;14.88;Kas.21;34;Oca.57;Oca.53;Þub.52;Þub.44;20;-1.75;2.May;Oca.98;1.Eyl;Oca.85;Oca.28;May.69;14.77
P1;11.08.2018;FC Porto;GD Chaves;5;0;H;3;0;H;14;2;6;0;11;12;7;0;0;2;0;1;Oca.14;7;21;Oca.13;8;16;Oca.18;6.Mar;13;Oca.18;8.Mar;17.18;Oca.15;7.May;15;Oca.17;7.May;17;40;1.Þub;Oca.17;8.Mar;Haz.97;21;15.71;34;Oca.57;Oca.51;Þub.65;Þub.49;21;-2;2.Oca;Oca.94;Oca.93;Oca.88;Oca.18;8.Aðu;19.26
P1;11.08.2018;Vitória de Setúbal;CD Aves;2;0;H;1;0;H;13;2;5;1;17;16;9;3;2;3;0;2;Þub.25;3.Oca;3.Nis;2.Mar;3.Þub;3.Oca;2.Mar;3;3.Þub;Þub.33;Mar.22;Mar.41;2.Mar;3.Oca;3.Þub;Þub.38;Mar.13;3.Mar;38;2.Nis;Þub.31;Mar.22;3.Oca;Mar.41;Mar.23;32;Þub.46;Þub.37;1.Haz;Oca.56;20;-0.25;2.Mar;Oca.98;Oca.91;Oca.85;Þub.41;Mar.14;Mar.42
P1;11.08.2018;CD Tondela;Os Belenenses;0;1;A;0;0;D;14;6;4;3;15;13;10;5;2;2;1;0;Þub.25;3.Oca;3.Nis;2.Þub;3.Þub;Mar.25;Þub.15;3.Oca;Mar.35;Þub.21;Mar.36;Mar.53;Þub.15;3.Mar;3.Mar;2.Þub;Mar.25;3.May;40;Þub.26;2.Þub;Mar.36;Mar.17;Mar.57;Mar.35;34;Þub.38;Þub.31;Oca.63;Oca.58;20;-0.25;Oca.93;Oca.88;2.Oca;Oca.95;Þub.23;Mar.38;Mar.54
P1;12.08.2018;CD Feirense;Rio Ave FC;2;0;H;2;0;H;12;7;5;1;17;9;3;4;1;2;0;0;3;3;2.May;2.Eyl;3;Þub.55;Þub.85;3;2.May;Þub.98;Mar.17;Þub.61;2.Aðu;3.Þub;2.May;2.Eyl;3.Oca;2.Haz;39;3;Þub.88;3.Þub;3.Mar;Þub.63;Þub.54;34;Þub.38;Þub.31;Oca.63;Oca.58;19;0;2.Kas;2.Þub;Oca.87;Oca.81;Þub.59;Mar.14;3.Kas
P1;12.08.2018;Clube Sport Marítimo;Santa Clara;1;0;H;0;0;D;10;9;4;5;16;9;7;3;0;3;0;0;Oca.75;3.Nis;5;Oca.78;3.Nis;4.Haz;Oca.77;Mar.35;4.Haz;Oca.81;Mar.64;Nis.87;1.Aðu;3.Nis;4.May;1.Aðu;3.May;4.Aðu;35;Oca.88;1.Aðu;Mar.64;Mar.38;5;Nis.59;31;Þub.37;Þub.28;Oca.65;1.Haz;17;-0.75;Þub.18;2.Tem;Oca.82;Oca.76;Oca.87;3.Nis;5.Kas
P1;12.08.2018;Moreirense FC;Sporting CP;1;3;A;1;1;D;3;6;3;4;21;15;6;4;5;5;0;0;7.May;4.Þub;Oca.44;8;4.Nis;1.Nis;7;4.Þub;Oca.43;8.Haz;Nis.44;Oca.46;6.May;4.May;Oca.44;8;Nis.33;Oca.44;39;8.Haz;Tem.36;4.May;Nis.26;Oca.48;Oca.43;36;Oca.97;Oca.89;Oca.99;Oca.87;20;1;2.Þub;2.Ara;Oca.78;Oca.73;Haz.82;Mar.76;Oca.63
P1;12.08.2018;SC Braga;CD Nacional;4;2;H;2;2;D;16;10;12;8;10;15;4;2;1;3;0;0;Oca.33;5;8.May;Oca.35;Nis.75;Aðu.25;Oca.35;Nis.85;7.Eyl;Oca.36;May.41;9.Nis;Oca.33;5.May;7.May;Oca.36;5;9;38;Oca.38;Oca.34;5.May;Nis.92;9.May;Aðu.22;32;1.Tem;Oca.65;Þub.28;Þub.18;20;-1.5;2.Kas;2.Nis;Oca.84;Oca.79;Oca.26;Haz.57;12.Eyl
P1;13.08.2018;Portimonense SC;Boavista FC;0;2;A;0;0;D;8;9;3;4;19;27;9;4;1;4;0;0;Þub.14;3.Oca;3.Haz;2.Mar;3.Þub;3.Oca;2.Þub;3.May;Mar.35;Þub.24;Mar.29;Mar.54;2.Þub;Mar.25;Mar.25;2.Þub;3.Þub;3.May;38;2.Mar;Þub.21;Mar.29;Mar.13;3.Haz;Mar.34;33;Þub.41;Þub.34;Oca.62;Oca.56;19;-0.25;Oca.94;Oca.89;2;Oca.93;Þub.26;Mar.21;Mar.69
P1;17.08.2018;CD Aves;CD Tondela;2;2;D;1;1;D;16;12;6;5;15;13;5;9;3;3;0;0;Þub.14;3;3.Aðu;2.Þub;3.Oca;3.Nis;Þub.15;3.May;Mar.45;Þub.25;Mar.28;Mar.61;2.Þub;3.Þub;Mar.25;2.Þub;Mar.25;3.May;41;2.Mar;2.Þub;Mar.31;Mar.14;3.Aðu;Mar.39;36;Þub.35;Þub.21;Oca.73;Oca.64;21;-0.25;Oca.95;Oca.89;2;Oca.94;Þub.27;Mar.27;Mar.59
P1;18.08.2018;Boavista FC;SL Benfica;0;2;A;0;1;A;4;17;1;8;12;21;2;9;4;1;0;0;7;4;1.May;Haz.75;3.Eyl;1.May;6;3.Tem;Oca.55;Aðu.64;4;1.May;6.May;4;1.May;7;4;Oca.53;42;Aðu.64;7.Aðu;4.Mar;Mar.91;Oca.55;Oca.49;40;2.Eyl;Oca.99;Oca.87;Oca.79;23;1;2;Oca.94;Oca.97;Oca.88;Tem.47;3.Eyl;Oca.57
P1;18.08.2018;GD Chaves;Portimonense SC;2;0;H;2;0;H;12;9;5;2;16;21;2;11;3;4;0;0;Þub.14;3.Oca;3.Haz;Þub.15;3.Þub;3.Nis;2.Þub;Mar.15;Mar.25;Þub.28;Mar.29;Mar.44;2.Þub;Mar.25;Mar.25;Þub.25;Mar.25;3.Nis;40;Þub.29;Þub.21;Mar.37;3.Þub;3.Haz;Mar.33;37;Þub.25;Þub.13;Oca.75;Oca.69;20;-0.25;Oca.95;1.Eyl;Oca.97;Oca.93;Þub.46;Mar.31;Mar.16
P1;18.08.2018;Sporting CP;Vitória de Setúbal;2;1;H;1;1;D;17;9;5;3;20;29;7;3;2;5;0;0;Oca.25;5.May;12;Oca.22;6.May;10;Oca.25;5.Nis;10.May;Oca.25;Haz.32;13.Aðu;Oca.22;5.May;12;Oca.25;May.75;13;42;1.Mar;Oca.25;Haz.91;May.66;16;Kas.38;36;Oca.67;Oca.62;Þub.31;Þub.25;21;-1.5;Oca.91;Oca.82;2.Tem;2.Oca;Oca.34;5.Mar;Eki.86
