Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HFKC;AFKC;HC;AC;HY;AY;HR;AR;B365H;B365D;B365A;BWH;BWD;BWA;IWH;IWD;IWA;PSH;PSD;PSA;WHH;WHD;WHA;VCH;VCD;VCA;Bb1X2;BbMxH;BbAvH;BbMxD;BbAvD;BbMxA;BbAvA;BbOU;BbMx>2.5;BbAv>2.5;BbMx<2.5;BbAv<2.5;BbAH;BbAHh;BbMxAHH;BbAvAHH;BbMxAHA;BbAvAHA;PSCH;PSCD;PSCA
B1;27.07.2018;Standard de Liège;KAA Gent;3;2;H;1;1;D;10;11;8;5;22;18;2;5;2;3;0;0;Þub.14;3.Nis;Mar.25;2.Þub;Mar.25;3.May;Þub.15;3.Þub;Mar.25;Þub.26;Mar.34;Mar.44;Þub.15;3.Þub;3.Oca;Þub.25;3.Nis;Mar.25;40;Þub.31;Þub.21;3.Nis;Mar.24;3.May;Mar.26;38;Þub.13;2.May;Oca.81;Oca.74;21;-0.25;Oca.97;Oca.92;Oca.96;Oca.91;Þub.35;Mar.28;Mar.31
B1;28.07.2018;KV Kortrijk;RSC Anderlecht;1;4;A;0;2;A;8;11;1;6;22;19;6;2;2;1;0;0;4.May;3.Aðu;Oca.72;4.Nis;3.Aðu;Oca.72;Nis.15;Mar.85;Oca.73;Nis.29;Nis.18;Oca.76;3.Aðu;4.Þub;Oca.67;4.Mar;3.Eyl;Oca.75;40;4.May;Nis.21;4.Þub;Mar.86;Oca.82;Oca.74;35;Oca.67;Oca.63;Þub.33;Þub.21;19;0.75;1.Eyl;Oca.84;2.May;Oca.98;Mar.67;Mar.86;Oca.99
B1;28.07.2018;KV Oostende;Royal Excel Mouscron;2;1;H;0;1;A;11;6;5;2;22;21;4;0;4;5;0;2;Oca.53;Mar.75;7;Oca.53;4;6;1.May;4.May;5.Aðu;Oca.53;Nis.35;Haz.47;1.May;Nis.33;5;Oca.53;4.Oca;6;39;Oca.57;Oca.52;4.Nis;4.May;7;May.99;36;Oca.81;Oca.75;Þub.13;2.Nis;22;-1;Oca.97;1.Eyl;Oca.97;Oca.91;Oca.57;Nis.31;6.Aðu
B1;28.07.2018;Sint-Truidense VV;KSV Cercle Brugge;0;0;D;0;0;D;9;10;3;6;23;16;2;5;2;3;0;0;1.Eyl;3.Haz;3.Aðu;1.Eyl;3.Haz;3.Aðu;Oca.85;3.May;3.Eyl;Oca.91;Mar.68;4.Oca;Oca.83;3.Haz;3.Haz;Oca.87;3.Haz;4;39;Oca.97;Oca.89;Mar.68;Mar.51;4.Oca;Mar.89;36;Oca.97;1.Eyl;Oca.94;Oca.87;18;-0.5;Oca.94;Oca.89;Oca.99;Oca.94;Oca.68;Nis.31;Nis.91
B1;28.07.2018;SV Zulte-Waregem;Waasland-Beveren;2;2;D;1;0;H;8;6;5;4;19;18;5;4;3;2;0;0;Oca.44;4.May;6.May;1.May;Nis.25;6;Oca.46;4.Nis;6;Oca.47;Nis.74;Haz.68;Oca.44;Nis.75;5;Oca.45;Nis.75;Haz.25;39;Oca.51;Oca.45;4.Aðu;Nis.46;6.Aðu;Haz.17;34;Oca.58;Oca.55;2.May;Þub.39;20;-1;Oca.79;Oca.74;Þub.16;2.Aðu;Oca.46;Nis.91;6.Eyl
B1;29.07.2018;Sporting de Charleroi;Royal Antwerp FC;0;1;A;0;1;A;10;6;5;3;18;15;7;3;1;2;0;0;2;3.Mar;Mar.75;Oca.91;3.Nis;3.Eyl;Oca.97;3.Þub;Mar.75;2.May;Mar.38;Mar.89;Oca.95;3.Mar;3.May;2;3.Mar;3.Eyl;39;2.Tem;Oca.99;3.Nis;Mar.26;4;Mar.77;35;Þub.28;Þub.19;1.Tem;Oca.64;17;-0.5;2.Haz;Oca.99;Oca.88;Oca.83;2.Nis;Mar.38;3.Ara
B1;29.07.2018;Club Brugge KV;KAS Eupen;5;2;H;3;0;H;12;9;8;5;12;16;4;4;0;4;0;1;Oca.22;6.May;11;Oca.22;6;11.May;Oca.25;5.Tem;9.Aðu;Oca.24;Haz.51;Ara.63;1.Þub;6.May;9;Oca.25;6;11;40;Oca.29;Oca.23;Haz.52;6.Haz;Ara.87;Eki.41;34;1.May;Oca.44;Þub.75;Þub.65;19;-1.75;2;Oca.92;Oca.98;Oca.89;Oca.29;May.87;Kas.44
B1;29.07.2018;Sporting Lokeren;KRC Genk;0;4;A;0;2;A;5;20;1;7;14;8;2;9;1;0;1;0;Mar.75;3.Nis;2;3.Nis;3.May;2.May;Mar.55;Mar.45;Oca.97;Mar.69;Mar.65;2.Þub;Mar.25;3.Haz;Oca.95;3.May;3.May;2.May;40;Mar.75;Mar.49;Mar.65;Mar.42;2.Ara;2.Þub;36;Oca.92;Oca.85;Oca.99;Oca.91;18;0.5;Oca.85;Oca.79;2.Ara;2.Nis;Nis.37;4.Mar;Oca.75
B1;3.08.2018;Waasland-Beveren;Standard de Liège;0;0;D;0;0;D;7;19;4;11;15;11;3;10;3;1;0;1;3.Aðu;3.Aðu;Oca.85;Nis.33;3.Tem;Oca.83;Nis.15;Mar.55;1.Aðu;4.Nis;Mar.74;Oca.85;4;3.Tem;Oca.73;Nis.33;3.Haz;1.Aðu;38;4.Nis;Nis.14;Mar.85;Mar.62;Oca.88;Oca.82;34;2.Þub;Oca.94;Oca.92;Oca.84;17;0.5;2.Haz;2.Oca;Oca.87;Oca.82;Nis.74;Mar.62;Oca.83
B1;4.08.2018;Royal Antwerp FC;KV Kortrijk;0;0;D;0;0;D;24;0;12;0;14;21;9;1;1;2;0;0;Oca.83;3.Nis;4.May;Oca.85;3.Tem;4.Þub;Oca.77;Mar.55;Nis.25;Oca.85;Mar.68;Nis.39;Oca.75;3.Haz;4;Oca.83;3.Haz;4.Þub;39;Oca.89;Oca.82;3.Tem;Mar.53;4.May;4.Þub;35;Oca.99;Oca.91;Oca.95;Oca.86;17;-0.5;Oca.87;Oca.83;2.May;2;1.Tem;Mar.87;May.35
