Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR;B365H;B365D;B365A;BWH;BWD;BWA;IWH;IWD;IWA;PSH;PSD;PSA;WHH;WHD;WHA;VCH;VCD;VCA;Bb1X2;BbMxH;BbAvH;BbMxD;BbAvD;BbMxA;BbAvA;BbOU;BbMx>2.5;BbAv>2.5;BbMx<2.5;BbAv<2.5;BbAH;BbAHh;BbMxAHH;BbAvAHH;BbMxAHA;BbAvAHA;PSCH;PSCD;PSCA
F1;10.08.2018;Olympique de Marseille;Toulouse Football Club;4;0;H;1;0;H;23;5;10;1;7;20;5;1;1;3;0;0;1.Nis;4.May;8;1.Nis;4.May;Aðu.75;Oca.45;4;7;Oca.47;Nis.62;Tem.79;1.Nis;4.Nis;8;1.Nis;4.Aðu;8.May;40;Oca.48;Oca.43;Nis.87;Nis.53;Aðu.79;Tem.64;37;Oca.77;Oca.72;Þub.19;2.Kas;18;-1.25;2.May;Oca.98;Oca.91;Oca.87;Oca.48;Nis.53;7.Tem
F1;11.08.2018;Angers SCO;Nîmes Olympique;3;4;A;1;1;D;21;14;7;5;20;12;5;1;2;2;0;1;2.Mar;3.Þub;3.Mar;2.Mar;3.Oca;3.Nis;2.Þub;3.Þub;3.Þub;2.Mar;Mar.38;3.Nis;Þub.25;3.Mar;3.Þub;2.Mar;3.Þub;3.Nis;40;Þub.35;Þub.28;Mar.38;Mar.21;Mar.49;Mar.31;35;2.Mar;2.Þub;Oca.73;Oca.66;20;-0.25;Oca.99;Oca.95;Oca.94;1.Eyl;Þub.36;Mar.15;Mar.51
F1;11.08.2018;LOSC Lille;Stade Rennais FC;3;1;H;1;1;D;15;8;6;2;12;13;2;6;1;0;0;0;2.May;3.Oca;3.Oca;Þub.55;3.Oca;Þub.95;2.Nis;Mar.15;2.Eyl;Þub.56;Mar.35;Þub.97;Þub.45;Mar.25;Þub.88;Þub.55;3.Þub;3;40;Þub.63;Þub.49;Mar.39;3.Þub;3.Oca;Þub.95;35;Þub.35;Þub.22;Oca.73;Oca.64;20;0;Oca.82;Oca.77;Þub.15;2.Eyl;Þub.81;Mar.31;Þub.72
F1;11.08.2018;Montpellier HSC;Dijon FCO;1;2;A;1;0;H;16;9;7;4;15;21;4;2;2;2;0;0;Oca.72;3.May;5.May;1.Tem;3.Haz;5.May;Oca.75;3.Nis;Nis.65;Oca.74;Mar.79;May.34;Oca.67;3.May;5;Oca.67;3.Tem;May.75;40;Oca.78;Oca.71;Mar.82;Mar.62;May.75;May.22;37;Þub.23;2.Ara;Oca.77;Oca.71;20;-1;Þub.45;Þub.32;Oca.67;Oca.61;Oca.74;Mar.68;5.Haz
F1;11.08.2018;FC Nantes;AS Monaco;1;3;A;0;0;D;16;11;4;6;8;15;7;2;1;0;0;0;3.Þub;Mar.25;2.Mar;3.Oca;Mar.25;2.Nis;3.Oca;3.Oca;2.Mar;Mar.27;3.Nis;Þub.35;3.Oca;3.Mar;2.Mar;3.Þub;3.Mar;Þub.38;40;Mar.35;Mar.15;Mar.44;Mar.27;Þub.41;Þub.34;37;Þub.14;2.Tem;Oca.81;Oca.74;20;0.25;1.Eyl;Oca.85;2.Haz;2.Oca;Þub.59;Mar.29;Þub.98
F1;11.08.2018;OGC Nice;Stade de Reims;0;1;A;0;1;A;19;5;1;3;13;14;10;2;1;2;0;0;Oca.85;3.May;4.May;Oca.83;3.May;4.May;Oca.85;3.Nis;4.Oca;Oca.94;Mar.52;Nis.41;Oca.85;3.Haz;4;Oca.87;3.May;4.May;40;Oca.97;Oca.87;Mar.64;Mar.49;4.Haz;Nis.29;38;2.Kas;2.Þub;Oca.84;Oca.79;19;-0.75;Þub.25;Þub.15;Oca.77;Oca.72;Oca.92;Mar.26;5.Tem
F1;11.08.2018;AS Saint-Étienne;En Avant de Guingamp;2;1;H;1;0;H;11;11;6;5;14;11;6;9;3;1;0;0;1.Aðu;3.May;Nis.75;Oca.85;3.Nis;4.Haz;1.Aðu;3.Nis;Nis.35;Oca.84;Mar.65;Nis.81;1.Aðu;3.Haz;4.Nis;Oca.83;3.Haz;4.Haz;40;1.Eyl;Oca.82;Mar.76;Mar.54;Nis.81;Nis.51;38;2.Oca;2.Mar;Oca.85;Oca.78;19;-0.75;Þub.13;2.Tem;Oca.82;Oca.79;Oca.84;Mar.53;5.Mar
F1;12.08.2018;FC Girondins de Bordeaux;RC Strasbourg Alsace;0;2;A;0;0;D;5;17;2;6;6;12;3;10;1;0;1;0;1.Tem;3.Haz;5;1.Tem;3.Aðu;5;Oca.75;3.Nis;Nis.65;1.Aðu;Mar.65;5.Kas;1.Aðu;3.May;4.Haz;Oca.75;3.Haz;5;39;Oca.85;Oca.76;3.Aðu;Mar.54;5.Þub;Nis.84;36;Þub.17;2.Tem;1.Aðu;Oca.74;20;-0.75;2.Haz;2.Oca;Oca.88;Oca.84;Oca.99;Mar.34;Nis.47
F1;12.08.2018;Olympique Lyonnais;Amiens SC;2;0;H;1;0;H;15;10;7;1;9;17;10;1;0;2;0;0;1.Þub;7;13;Oca.22;Haz.75;12;Oca.25;5.May;10;Oca.24;Haz.79;14.34;1.Þub;6.May;13;Oca.22;6.May;15;40;Oca.26;Oca.22;7.Oca;Haz.35;15;Ara.68;35;Oca.55;1.May;Þub.64;Þub.56;21;-2;Þub.21;Þub.13;Oca.77;Oca.73;Oca.25;Haz.68;13.47
F1;12.08.2018;Paris Saint-Germain;Stade Malherbe Caen;3;0;H;2;0;H;11;5;8;1;13;7;6;3;1;0;0;0;1.Aðu;12;23;1.Kas;Eyl.75;23;1.Ara;8.May;16;1.Ara;Eki.47;23.99;1.Tem;10;29;1.Tem;11.May;41;39;1.Ara;1.Eyl;13;Eki.42;41;24.34;33;1.Mar;Oca.26;Mar.95;Mar.69;20;-2.75;2.Nis;Oca.99;Oca.93;Oca.86;1.Ara;Eki.47;23.99
