Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR;B365H;B365D;B365A;BWH;BWD;BWA;IWH;IWD;IWA;PSH;PSD;PSA;WHH;WHD;WHA;VCH;VCD;VCA;Bb1X2;BbMxH;BbAvH;BbMxD;BbAvD;BbMxA;BbAvA;BbOU;BbMx>2.5;BbAv>2.5;BbMx<2.5;BbAv<2.5;BbAH;BbAHh;BbMxAHH;BbAvAHH;BbMxAHA;BbAvAHA;PSCH;PSCD;PSCA
I1;18.08.2018;Chievo Verona;Juventus;2;3;A;1;1;D;7;23;2;11;7;9;0;8;2;0;0;0;13;May.75;Oca.25;14;Haz.25;Oca.22;13;5.Aðu;Oca.25;15.87;Haz.21;Oca.25;13;6;Oca.22;15;6;Oca.25;41;15.87;13.Tem;Haz.44;May.88;Oca.27;Oca.24;38;Oca.75;1.Tem;Þub.24;Þub.13;19;2;Oca.68;Oca.64;Þub.38;Þub.29;18.84;Haz.42;Oca.22
I1;18.08.2018;Lazio;Napoli;1;2;A;1;1;D;9;11;5;6;8;5;4;7;0;0;0;0;2.Aðu;3.Nis;2.May;2.Aðu;3.May;Þub.45;2.Aðu;Mar.55;2.Nis;2.Eyl;Mar.59;Þub.48;2.Aðu;3.May;2.Nis;Þub.88;3.Nis;2.May;41;Þub.95;Þub.82;Mar.65;3.May;Þub.56;Þub.44;38;Oca.74;Oca.68;Þub.29;Þub.17;20;0;2.Ara;2.Tem;Oca.83;Oca.79;Þub.78;Mar.57;Þub.59
I1;19.08.2018;Bologna;Spal;0;1;A;0;0;D;8;10;3;5;16;11;7;0;4;2;1;0;Þub.25;3.Þub;3.Nis;Þub.25;3.Þub;3.Nis;Þub.25;3.Oca;Mar.45;Þub.32;Mar.16;Mar.58;Þub.25;3.Þub;3.Mar;Þub.25;3.Oca;3.Tem;41;Þub.39;Þub.27;Mar.21;3.Ara;3.Tem;Mar.44;38;Þub.43;Þub.34;Oca.65;Oca.58;19;-0.25;Oca.97;Oca.92;Oca.99;Oca.94;Þub.31;Mar.18;Mar.59
I1;19.08.2018;Empoli;Cagliari;2;0;H;1;0;H;9;12;4;5;19;19;6;6;3;3;0;0;Þub.14;3.Þub;3.Haz;Þub.15;Mar.25;3.Haz;Þub.15;3.Mar;Mar.45;Þub.22;Mar.26;3.Haz;Þub.25;Mar.25;Mar.25;Þub.25;Mar.13;3.Haz;41;Þub.34;Þub.22;Mar.35;Mar.23;Mar.65;Mar.43;38;Þub.22;2.Kas;Oca.78;Oca.71;19;-0.25;Oca.98;Oca.91;Oca.98;Oca.94;Þub.54;Mar.42;Þub.95
I1;19.08.2018;Parma;Udinese;2;2;D;1;0;H;9;16;6;6;10;13;4;5;2;2;0;0;Þub.45;3.Mar;2.Eyl;Þub.45;3.Þub;3;Þub.45;Mar.15;3.May;Þub.51;3.Þub;Mar.18;2.May;3.Þub;2.Eyl;2.Haz;3.Oca;3;41;2.Haz;Þub.47;3.Mar;Mar.17;Mar.18;3;38;Þub.34;Þub.21;Oca.73;Oca.65;20;0;Oca.81;Oca.77;Þub.18;2.Oca;2.Aðu;Mar.24;Þub.78
I1;19.08.2018;Sassuolo;Inter;1;0;H;1;0;H;7;11;5;4;23;11;4;4;3;2;0;0;5.May;4;Oca.61;May.25;3.Eyl;Oca.65;5.Nis;4;1.Haz;May.96;Nis.19;Oca.61;5;3.Aðu;Oca.65;Haz.25;3.Eyl;1.Haz;41;Haz.25;May.45;Nis.21;Mar.96;Oca.67;Oca.62;38;Oca.92;Oca.83;2.Nis;Oca.96;18;1;Oca.83;Oca.79;Þub.16;2.Aðu;5.Aðu;Mar.71;Oca.79
I1;19.08.2018;Torino;Roma;0;1;A;0;0;D;8;16;5;13;10;14;6;5;1;3;0;0;3.May;3.May;2.Oca;3.May;3.Haz;2.May;3.Nis;Mar.55;2.Oca;Mar.59;Mar.59;Þub.14;3.Nis;3.Haz;2.May;3.Haz;3.May;2.Oca;40;Mar.65;Mar.45;Mar.67;Mar.53;Þub.19;2.Eyl;37;Oca.79;Oca.72;Þub.17;2.Eyl;19;0.25;2.Kas;2.Nis;Oca.85;Oca.81;Mar.62;Mar.55;Þub.14
I1;20.08.2018;Atalanta;Frosinone;4;0;H;1;0;H;16;6;10;1;14;10;4;4;0;2;0;0;Oca.36;4.May;11;Oca.36;5;8.May;Oca.35;Nis.95;9.Haz;Oca.35;5.Oca;Eki.76;Oca.35;4.Aðu;9;Oca.33;5;12;40;Oca.38;Oca.35;May.25;Nis.84;12;Eyl.69;38;Oca.88;Oca.81;2.May;Oca.98;19;-1.5;Þub.14;2.Haz;Oca.86;Oca.81;Oca.35;May.26;Eki.54
I1;25.08.2018;Juventus;Lazio;2;0;H;1;0;H;14;8;9;3;12;13;6;2;3;2;0;0;Oca.36;5;8.May;Oca.36;5;8.May;Oca.38;Nis.95;8;Oca.36;5.Þub;10.Tem;Oca.36;Nis.75;8;Oca.33;5;10;41;1.Nis;Oca.36;May.38;5.Oca;Eki.25;Aðu.73;38;Oca.69;Oca.63;Þub.36;Þub.25;21;-1;1.Haz;Oca.56;2.Haz;Þub.46;Oca.51;Nis.53;7.Aðu
I1;25.08.2018;Napoli;Milan;3;2;H;0;1;A;21;6;13;4;12;9;5;1;2;2;0;0;Oca.61;4;5.May;Oca.62;4;5.May;Oca.67;Mar.95;5.Oca;Oca.68;Mar.92;5.Tem;Oca.65;3.Eyl;5;Oca.65;4;5.May;41;Oca.71;Oca.65;4.Þub;Mar.92;May.78;May.32;38;Oca.83;Oca.75;Þub.16;2.Haz;22;-1;Þub.23;Þub.14;Oca.77;Oca.73;Oca.65;4.Oca;May.94
