Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR;B365H;B365D;B365A;BWH;BWD;BWA;IWH;IWD;IWA;PSH;PSD;PSA;WHH;WHD;WHA;VCH;VCD;VCA;Bb1X2;BbMxH;BbAvH;BbMxD;BbAvD;BbMxA;BbAvA;BbOU;BbMx>2.5;BbAv>2.5;BbMx<2.5;BbAv<2.5;BbAH;BbAHh;BbMxAHH;BbAvAHH;BbMxAHA;BbAvAHA;PSCH;PSCD;PSCA
T1;10.08.2018;MKE Ankaragücü;Galatasaray SK;1;3;A;1;2;A;3;12;1;4;15;9;2;4;2;2;0;0;4.May;4;Oca.72;4.Haz;3.Eyl;Oca.65;Nis.35;Mar.85;1.Tem;Nis.62;Mar.97;Oca.77;4;4;1.Tem;Nis.33;4;Oca.73;34;Nis.89;Nis.42;4.Eyl;Mar.85;Oca.82;Oca.71;30;1.Tem;Oca.64;Þub.29;2.Þub;18;1;Oca.69;Oca.64;Þub.34;Þub.23;Nis.39;Mar.89;Oca.83
T1;11.08.2018;Fenerbahçe SK;Bursaspor;2;1;H;2;1;H;7;6;2;3;12;15;4;4;3;3;0;0;Oca.36;5;7.May;Oca.33;5;Tem.75;1.Nis;Nis.65;6.Eyl;Oca.38;May.13;Aðu.28;Oca.35;4.Aðu;7;1.Nis;4.Aðu;7.May;36;Oca.44;Oca.37;May.35;Nis.76;9.May;Tem.42;31;Oca.66;1.Haz;Þub.35;Þub.27;18;-1.5;Þub.21;2.Kas;Oca.78;Oca.72;Oca.35;May.46;9.Kas
T1;11.08.2018;Çaykur Rizespor;Kasimpaþa SK;2;3;A;1;0;H;8;14;5;6;13;14;3;6;2;1;0;0;2.Mar;3.Nis;3;2.Nis;3.Oca;2.Eyl;Þub.35;Mar.35;Þub.85;Þub.44;Mar.52;Þub.89;2.Mar;3.May;2.Tem;Þub.38;3.Nis;Þub.88;35;2.May;Þub.33;Mar.64;Mar.36;3.May;Þub.86;30;Oca.86;Oca.77;2.Kas;2;17;0;Oca.77;Oca.72;Þub.19;2.Kas;2.Mar;Mar.85;Mar.56
T1;11.08.2018;Sivasspor;Alanyaspor;1;0;H;0;0;D;12;9;5;3;13;16;4;7;1;3;0;0;Þub.25;Mar.25;3.Þub;Þub.15;3.Nis;3.Oca;Þub.15;3.May;3.May;Þub.18;Mar.77;Mar.17;2.Oca;3.Tem;2.Eyl;2.Þub;3.May;Mar.13;35;2.Mar;Þub.18;Mar.77;Mar.46;3.Mar;3.Aðu;32;1.Aðu;Oca.73;Þub.17;2.Haz;18;-0.25;Oca.98;Oca.91;Oca.97;Oca.91;Oca.95;Mar.74;Mar.95
T1;12.08.2018;Beþiktaþ JK;Akhisar Belediyespor;2;1;H;2;0;H;13;8;4;4;17;16;12;3;3;6;0;0;1.Nis;5;6.May;Oca.33;May.25;7.May;Oca.43;4.May;6.Mar;Oca.42;4.Eyl;7.May;1.Nis;Nis.75;6;1.Nis;Nis.75;7;36;Oca.47;Oca.41;May.25;Nis.62;8.Tem;Haz.69;31;Oca.64;Oca.57;Þub.38;Þub.32;18;-1;1.Tem;Oca.66;2.Mar;2.Þub;Oca.44;Nis.85;Tem.49
T1;12.08.2018;Medipol Baþakþehir FK;Trabzonspor;2;0;H;1;0;H;15;8;5;0;16;15;9;2;2;2;0;0;1.Aðu;3.Haz;4.May;Oca.72;3.Haz;4.May;Oca.85;3.May;Mar.95;Oca.92;Mar.45;Nis.38;Oca.85;3.Haz;3.Tem;Oca.83;3.Tem;4.Oca;36;Oca.97;Oca.84;Mar.74;3.May;4.Tem;4.Mar;30;Oca.85;Oca.77;Þub.13;2;17;-0.75;Þub.21;2.Kas;Oca.78;Oca.73;Oca.86;Mar.78;Nis.31
T1;12.08.2018;Göztepe SK;Yeni Malatyaspor;1;3;A;0;1;A;10;6;4;3;11;11;4;0;4;5;2;1;Oca.95;3.Mar;4;Oca.95;3.Nis;3.Haz;Oca.95;Mar.35;Mar.75;Oca.99;Mar.49;Mar.98;Oca.95;3.Nis;3.May;Oca.95;3.May;Mar.75;36;2.Oca;Oca.96;Mar.63;Mar.33;4;Mar.72;32;2.Þub;Oca.95;1.Eyl;Oca.82;17;-0.5;2.Mar;Oca.97;Oca.89;Oca.85;2.Kas;Mar.26;Mar.96
T1;12.08.2018;Atiker Konyaspor;BB Erzurumspor;3;2;H;2;1;H;16;6;9;4;11;14;4;7;1;2;0;0;Oca.75;3.May;Nis.75;Oca.75;3.Haz;Nis.25;;;;1.Aðu;Mar.66;Nis.71;Oca.73;3.Haz;Nis.33;Oca.75;3.Haz;Nis.75;34;Oca.89;Oca.77;Mar.77;Mar.51;Nis.75;Nis.44;30;2.May;Oca.98;Oca.88;1.Aðu;17;-0.75;2.Tem;2;Oca.88;Oca.82;Oca.75;Mar.72;May.17
T1;13.08.2018;Kayserispor;Antalyaspor;2;0;H;1;0;H;8;4;5;1;16;8;6;2;0;2;0;1;Oca.95;3.Nis;3.Eyl;Oca.87;3.Nis;4;Oca.87;3.Nis;Mar.95;Oca.92;Mar.63;4.Kas;Oca.83;3.Haz;Mar.75;Oca.91;3.Nis;4.Oca;35;2.Mar;Oca.91;Mar.63;3.Nis;Nis.13;3.Eyl;30;Þub.16;2.May;Oca.81;Oca.74;16;-0.5;Oca.96;Oca.91;Oca.96;Oca.91;1.Aðu;Mar.48;May.25
T1;17.08.2018;Trabzonspor;Sivasspor;3;1;H;3;1;H;10;12;8;3;12;19;8;5;1;4;0;0;Oca.75;Mar.75;4.May;Oca.83;3.Nis;4.Oca;1.Aðu;3.May;4.Þub;Oca.82;Mar.63;Nis.81;1.Aðu;3.Haz;3.Eyl;1.Aðu;Mar.75;4.Þub;39;Oca.89;1.Aðu;Mar.83;Mar.57;Nis.84;Nis.36;36;Oca.82;Oca.76;2.Kas;2.Mar;18;-0.75;2.Eyl;2.Nis;Oca.85;Oca.79;Oca.82;3.Tem;Nis.68
