Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR;B365H;B365D;B365A;BWH;BWD;BWA;IWH;IWD;IWA;PSH;PSD;PSA;WHH;WHD;WHA;VCH;VCD;VCA;Bb1X2;BbMxH;BbAvH;BbMxD;BbAvD;BbMxA;BbAvA;BbOU;BbMx>2.5;BbAv>2.5;BbMx<2.5;BbAv<2.5;BbAH;BbAHh;BbMxAHH;BbAvAHH;BbMxAHA;BbAvAHA;PSCH;PSCD;PSCA
D1;24.08.2018;FC Bayern München;TSG 1899 Hoffenheim;3;1;H;1;0;H;16;8;5;5;2;21;7;2;1;4;0;0;1.Þub;7.May;12;1.Þub;7.May;11.May;1.Mar;5.Aðu;9;1.Þub;Tem.86;14.Eyl;Oca.17;8;13;1.Þub;7.May;15;40;1.Mar;1.Þub;8.Aðu;Tem.37;15;13.26;34;Oca.33;1.Nis;3.Mar;Mar.55;22;-2;Oca.92;Oca.87;2.May;Oca.99;Oca.23;Tem.15;14.Oca
D1;25.08.2018;Fortuna Düsseldorf;FC Augsburg;1;2;A;1;0;H;9;14;5;7;11;10;7;5;1;0;0;0;Þub.37;Mar.25;3;2.Nis;3.Mar;3;2.Nis;3.Mar;Þub.95;Þub.51;Mar.32;3.Haz;Þub.45;Mar.25;2.Eyl;2.May;3.Mar;3;41;Þub.65;Þub.47;Mar.36;Mar.24;Mar.13;Þub.97;38;Þub.13;2.May;Oca.84;Oca.76;20;0;1.Aðu;Oca.76;Þub.17;2.Kas;Þub.74;Mar.33;Þub.78
D1;25.08.2018;SC Freiburg;Eintracht Frankfurt;0;2;A;0;1;A;22;10;6;2;7;12;6;4;1;2;0;0;2.Mar;3.Mar;Mar.25;Þub.35;3.Þub;3.Þub;2.Nis;3.Mar;Þub.95;Þub.34;3.Nis;Mar.28;Þub.25;3.Mar;3.Þub;Þub.38;3.Mar;3.Þub;41;Þub.45;Þub.34;3.Nis;Mar.25;Mar.31;Mar.19;38;Þub.23;Þub.15;Oca.75;Oca.69;20;-0.25;2.Þub;Oca.99;Oca.92;Oca.88;Þub.52;3.Mar;3.Tem
D1;25.08.2018;Hertha BSC;1. FC Nürnberg;1;0;H;1;0;H;10;12;3;3;13;10;8;4;2;2;0;0;2.Nis;3.Nis;Mar.75;2.May;3.Nis;3.Tem;2.Oca;3.Nis;3.May;2.May;Mar.43;4.Haz;2.May;3.Nis;3.Haz;2.May;3.Nis;3.Aðu;40;2.Oca;2.Nis;Mar.49;Mar.37;4.Haz;Mar.83;37;2.Ara;2.May;Oca.83;Oca.76;20;-0.25;Oca.78;Oca.74;Þub.21;Þub.14;Oca.79;Mar.61;May.21
D1;25.08.2018;Borussia Mönchengladbach;Bayer 04 Leverkusen;2;0;H;0;0;D;17;13;7;3;10;10;9;5;1;2;0;0;2.Aðu;3.May;Þub.45;Þub.85;3.May;2.Nis;2.Aðu;3.Nis;2.May;Þub.89;Mar.69;Þub.47;Þub.62;3.Tem;Þub.45;2.Aðu;3.Tem;2.Nis;41;Þub.96;Þub.82;Mar.72;Mar.55;Þub.52;Þub.42;37;Oca.64;1.Haz;2.May;Þub.32;20;0;Þub.13;2.Tem;Oca.84;Oca.78;Þub.63;3.Tem;Þub.69
D1;25.08.2018;SV Werder Bremen;Hannover 96;1;1;D;0;0;D;15;13;3;4;5;6;4;3;0;0;0;0;Oca.85;3.Haz;4;Oca.87;Mar.75;4;1.Eyl;3.May;4.Oca;Oca.93;Mar.79;4.Oca;Oca.85;3.Haz;4;1.Eyl;3.Aðu;4;41;Oca.97;1.Eyl;Mar.85;Mar.68;4.Ara;Mar.95;38;Oca.76;Oca.71;Þub.22;2.Ara;20;-1;Þub.88;Þub.65;Oca.55;Oca.49;Oca.74;Nis.21;Nis.71
D1;25.08.2018;VfL Wolfsburg;FC Schalke 04 04;2;1;H;1;0;H;11;9;7;4;16;11;7;2;5;3;0;1;3.Oca;3.Mar;Þub.37;3;3.Mar;2.Nis;Þub.85;3.Mar;2.May;Mar.36;Mar.25;Þub.37;3.Þub;3.Þub;2.Mar;3.Þub;3.Mar;Þub.38;41;Mar.39;Mar.19;Mar.35;Mar.21;2.May;Þub.36;38;Þub.27;Þub.17;Oca.75;Oca.68;20;0.25;1.Eyl;Oca.86;2.Nis;2;Mar.23;3.Þub;Þub.48
D1;26.08.2018;Borussia Dortmund;RB Leipzig;4;1;H;3;1;H;10;10;5;7;8;11;7;9;2;2;0;0;Oca.72;3.Aðu;Nis.75;Oca.75;3.Aðu;4.Haz;1.Aðu;3.Haz;4.May;Oca.79;4.May;Nis.57;Oca.75;4;4.Þub;1.Aðu;4;4.Mar;41;Oca.81;Oca.76;Nis.13;Mar.92;Nis.75;Nis.45;36;Oca.58;Oca.53;Þub.57;Þub.46;22;-1;Þub.41;2.Mar;1.Tem;Oca.64;Oca.74;4.Kas;Nis.77
D1;26.08.2018;1. FSV Mainz 05;VfB Stuttgart;1;0;H;0;0;D;8;12;3;3;15;6;6;3;1;2;0;0;2.Tem;Mar.25;2.Tem;2.Aðu;Mar.25;2.Haz;Þub.65;3.Mar;Þub.65;Þub.92;Mar.22;Þub.67;Þub.75;3.Þub;Þub.62;Þub.75;Mar.25;2.Tem;41;Þub.92;Þub.76;Mar.31;Mar.18;2.Aðu;Þub.67;38;Þub.24;2.Ara;Oca.77;Oca.71;20;0;2.Þub;Oca.95;Oca.95;1.Eyl;Þub.93;Mar.28;Þub.63
D1;31.08.2018;Hannover 96;Borussia Dortmund;0;0;D;0;0;D;7;8;0;3;11;5;4;1;0;0;0;0;5.May;Nis.33;Oca.57;5.May;Nis.33;Oca.57;5.May;4;1.Haz;May.44;Nis.25;Oca.65;4.Aðu;Nis.33;Oca.62;5.Þub;4.Nis;Oca.62;36;May.65;May.34;4.May;Nis.26;Oca.65;1.Haz;35;Oca.61;Oca.56;Þub.49;2.Nis;20;1;Oca.89;Oca.84;2.Aðu;2.Oca;May.25;Nis.16;Oca.68
D1;1.09.2018;FC Augsburg;Borussia Mönchengladbach;1;1;D;1;0;H;18;7;7;2;12;12;9;4;1;2;0;0;Þub.62;3.Nis;2.Tem;Þub.65;3.Nis;Þub.65;Þub.65;3.Nis;Þub.65;Þub.64;Mar.41;Þub.83;2.Haz;3.Nis;Þub.62;Þub.63;3.Nis;Þub.75;38;Þub.78;Þub.63;Mar.45;Mar.34;Þub.87;Þub.73;37;Oca.97;Oca.88;Oca.98;Oca.92;20;0;Oca.94;1.Eyl;2.Oca;Oca.96;Þub.65;Mar.52;Þub.75
D1;1.09.2018;Eintracht Frankfurt;SV Werder Bremen;1;2;A;0;1;A;5;11;1;6;6;11;8;3;1;2;1;0;2.Nis;3.May;2.Eyl;Þub.45;3.Nis;Þub.85;2.Mar;3.Mar;Mar.15;Þub.47;Mar.47;Þub.97;Þub.45;3.Mar;Þub.88;2.Nis;3.May;3;37;Þub.52;Þub.42;3.May;3.Nis;Mar.15;Þub.94;36;Oca.91;Oca.86;2.Mar;Oca.94;18;-0.25;Þub.13;2.Aðu;Oca.84;Oca.81;Þub.42;Mar.53;3.Mar
